file,omega_rpm,axial_depth_m,boundary_m,label,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
time1_21.h5,4000.0,0.004,0.0026254736930035327,1,1.768587405913218,-1.9128016588558139,899708.5038291571,-0.707880820709227,-0.34427863236596706,0.5908606103058153,0.9997258180152766,4.665392853596125,0.007898936170213533,475.0966935001727,0.7318223490919914,0.2717672615874066
time1_22.h5,4500.0,0.001,0.0012660557382003584,0,4.4488556462673685,-0.9753671082213382,6186.749893920572,2.2573461681853075,-0.4898352868166597,0.14486009558145305,0.999999999468649,2.1737362613325617,0.00023809523809520392,391.1175329762624,0.6408884499775931,0.28625340457504433
time1_23.h5,4500.0,0.002,0.0012660557382003584,1,1.6985644424849453,-1.6492467358963305,307077.1247088865,-0.609526547856934,-0.3804496190489972,0.6495610837756852,0.9990500329638569,4.723149577990918,0.013650793650791693,534.6254256196381,0.7422574677864564,0.24728909712680502
time1_24.h5,4500.0,0.003,0.0012660557382003584,1,1.6573987799263306,-1.552912484517832,1679877.4267081234,0.22673448099597399,-0.36016667122278984,0.7873983029638363,0.9983159865286938,6.184617621729568,0.013650793650791693,649.7282736861232,0.7472830377695303,0.23603740031149834
time1_25.h5,5000.0,0.001,0.0012467600519764047,0,2.5171815225481997,-0.9735372314119144,7538.763170325113,2.160093372164989,-0.4769994001242402,0.1079673981263051,0.9999999991024019,2.2650523017190207,0.00023684210526320193,432.41933485313893,0.57075640222606,0.2792140351327051
time1_26.h5,5000.0,0.002,0.0012467600519764047,1,1.7407415818706264,-1.6185076567528383,64782.15807748509,-0.5105330059929073,-0.4195408782079582,0.4185170721502953,0.9992606890604192,3.2793376824752283,0.01176315789473903,461.9257657190996,0.7458801321813737,0.271575084385359
time1_27.h5,5000.0,0.003,0.0012467600519764047,1,1.6478525322926372,-1.689825011456048,1029774.8686280537,0.47702192997968673,-0.3632769913804956,0.7187622995869407,0.9996151667109969,5.306455452735263,0.005842105263158981,621.5890548714327,0.7600775752829368,0.2293330153085159
time1_28.h5,5500.0,0.001,0.0017359116151273064,0,1.5393168333122362,-0.96911718291504,11969.057647500638,2.065749821433586,-0.4608660987659832,0.08312739101126064,0.9999999973591425,2.2290481813264122,0.00016042780748662389,472.8868807886456,0.5570318012745916,0.26726180844561387
time1_29.h5,5500.0,0.002,0.0017359116151273064,1,2.0938306359143968,-1.1620677808567061,26890.655397753057,0.2857707328442046,-0.4367112431444613,0.12811644016762144,0.9999918386100902,2.417950018389857,0.00016042780748662389,430.0539861319551,0.7216821544853388,0.3112882202423032
time1_30.h5,5500.0,0.003,0.0017359116151273064,1,1.809918337280726,-1.7913869726444174,362287.0656120072,-1.3184085874705547,-0.3564824159124009,0.444764510226454,0.9995660407803325,4.21563775502028,0.005695187165775148,527.9955582463072,0.7765514072367297,0.22145404232846194
time1_31.h5,6000.0,0.001,0.0029457126545122288,0,1.508265192854826,-0.9653932767256891,14300.128819202531,1.8950842620373476,-0.45901827347772983,0.06978601649585688,0.9999999858885059,2.2496252614996735,0.00016129032258063725,508.9429143534228,0.57744332293869,0.2648303269003048
time1_32.h5,6000.0,0.002,0.0029457126545122288,0,1.7426103832846618,-0.8934570393826718,22061.860705412942,0.9015012580799385,-0.4424005275992522,0.057570474133859684,0.999999965455873,2.358989013971161,0.00016129032258063725,450.59076092423675,0.5760331931846882,0.2659481836944715
time1_33.h5,6000.0,0.003,0.0029457126545122288,1,2.004032399051218,-0.8686682676837199,20207.144166921826,0.6575285259948564,-0.4351555675483526,0.052389637230499886,0.9999999405912526,2.3971735915295818,0.00016129032258063725,436.49002500048965,0.580750747772694,0.26720692831762144
time1_34.h5,6000.0,0.004,0.0029457126545122288,1,2.0051402230874276,-1.7920783088742442,117696.40614147714,-0.7092838527965464,-0.3907406264691763,0.21751782183269988,0.9999169299707589,2.8537425972488863,0.00016129032258063725,469.1996867509567,0.7643074312313417,0.30334692938866625
time1_35.h5,6000.0,0.005,0.0029457126545122288,1,1.8402838671040134,-1.7649457476712485,642700.4040420502,-0.7522223055944048,-0.33386333158741927,0.40453422033499964,0.9999092576864264,3.985208069903981,8.064516129031862e-05,545.2463196722281,0.8025070748153131,0.2538019091795741
time1_36.h5,6500.0,0.001,0.005340597669805986,0,1.5337806677102301,-0.9644366559630467,15102.854809237338,1.6366382612161734,-0.4761806677673657,0.06326374038040218,0.9999998571887919,2.179330352952485,0.00015915119363396624,539.4906800974364,0.6083474617449054,0.27347252491674484
time1_37.h5,6500.0,0.002,0.005340597669805986,0,1.5216539624863683,-0.9241741021404469,22133.149578835662,1.0675547710948734,-0.46704193011233874,0.059084173348712396,0.9999997798980631,2.226659046586721,0.00015915119363396624,502.55640353491054,0.6076943579524812,0.27396077213029885
