fold,model,subset,num_features,f1,recall,precision,accuracy,roc_auc,pr_auc,selected_features
3,XGBoost,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
3,XGBoost,Set B (Fold Top 20),20,1.0,1.0,1.0,1.0,1.0,1.0,"ar_coeff_2, impulse_factor, spectral_entropy, d2_energy, skewness_1st_derivative, ar_coeff_3, kurtosis_1st_derivative, d3_d4_subband_energy_ratio, ar_coeff_1, cross_spectral_centroid, d3_energy, coherence_at_dominant_resonant, skewness, cross_axis_peak_delay, a4_energy, wavelet_energy_entropy, d1_relative_energy, multi_axis_energy_asymmetry, coherence_at_tpf, crest_factor"
3,XGBoost,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0,"ar_coeff_2, impulse_factor, d2_energy, skewness_1st_derivative, kurtosis_1st_derivative, d3_d4_subband_energy_ratio, cross_spectral_centroid, coherence_at_dominant_resonant, cross_axis_peak_delay, a4_energy, d1_relative_energy, multi_axis_energy_asymmetry"
3,XGBoost,Set D (Fold Top 6),6,1.0,1.0,1.0,1.0,1.0,1.0,"ar_coeff_2, impulse_factor, spectral_entropy, d2_energy, skewness_1st_derivative, ar_coeff_3"
3,LightGBM,Set A (All 48),48,1.0,1.0,1.0,1.0,1.0,1.0,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
3,LightGBM,Set B (Fold Top 20),20,1.0,1.0,1.0,1.0,1.0,1.0,"ar_coeff_2, impulse_factor, spectral_entropy, d2_energy, skewness_1st_derivative, ar_coeff_3, kurtosis_1st_derivative, d3_d4_subband_energy_ratio, ar_coeff_1, cross_spectral_centroid, d3_energy, coherence_at_dominant_resonant, skewness, cross_axis_peak_delay, a4_energy, wavelet_energy_entropy, d1_relative_energy, multi_axis_energy_asymmetry, coherence_at_tpf, crest_factor"
3,LightGBM,Set C (Fold Pruned 12),12,1.0,1.0,1.0,1.0,1.0,1.0,"ar_coeff_2, impulse_factor, d2_energy, skewness_1st_derivative, kurtosis_1st_derivative, d3_d4_subband_energy_ratio, cross_spectral_centroid, coherence_at_dominant_resonant, cross_axis_peak_delay, a4_energy, d1_relative_energy, multi_axis_energy_asymmetry"
3,LightGBM,Set D (Fold Top 6),6,1.0,1.0,1.0,1.0,1.0,1.0,"ar_coeff_2, impulse_factor, spectral_entropy, d2_energy, skewness_1st_derivative, ar_coeff_3"
4,Logistic Regression,Set A (All 48),48,0.9333333333333333,0.875,1.0,0.95,1.0,1.0,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
4,Logistic Regression,Set B (Fold Top 20),20,0.9333333333333333,0.875,1.0,0.95,1.0,1.0,"ar_coeff_2, spectral_entropy, impulse_factor, multi_axis_energy_asymmetry, d2_energy, cross_correlation_coeff, kurtosis_1st_derivative, ar_coeff_1, skewness_1st_derivative, d1_relative_energy, phase_space_ellipsicity, coherence_at_dominant_resonant, skewness, kurtosis, ar_coeff_3, d3_energy, crest_factor, d3_d4_subband_energy_ratio, bivariate_orbit_radius_ratio, cross_axis_peak_delay"
